p,translation_norm_over_scale,count,mean_rel_l2_error,max_rel_l2_error,mean_rel_l2_l0,mean_bias_alpha_l0,mean_rel_l2_l1,mean_bias_alpha_l1,mean_rel_l2_l2,mean_bias_alpha_l2,mean_rel_l2_l3,mean_bias_alpha_l3,mean_rel_l2_l4,mean_bias_alpha_l4,mean_rel_l2_l5,mean_bias_alpha_l5,mean_rel_l2_l6,mean_bias_alpha_l6,mean_rel_l2_l7,mean_bias_alpha_l7,mean_rel_l2_l8,mean_bias_alpha_l8
4,0.24999999999999997,3,0.1636594309578174,0.5663890174404578,5.0839644234517837e-05,1.0000252076424825,0.0013999998093285292,0.998896605615232,0.02784401616911877,1.0130768344480152,0.12365620520912883,0.8484326163847536,0.6555248681909825,0.6279958411441865,nan,nan,nan,nan,nan,nan,nan,nan
4,0.49999999999999994,2,0.5924919316694804,4.160396878544676,0.003990912620159396,1.0012666924331097,0.0918509387891225,0.9179503812920211,0.36412497535974153,0.7423729018358668,0.6118267939652503,0.48155897005482157,0.9149071415964443,0.1357756190709909,nan,nan,nan,nan,nan,nan,nan,nan
4,0.5,1,0.8293068318736039,3.7838052129288218,0.0067182654855968745,0.9932817345144029,0.1359488218459788,0.815514669473926,0.2923686441127112,0.8132284316135898,0.8348418434010823,0.5146141588929407,1.015824815842641,-0.1341800235544568,nan,nan,nan,nan,nan,nan,nan,nan
4,0.75,3,0.6746290366627377,5.271240793091732,0.01023187207130089,0.9936853958086408,0.2136486150636839,1.1163471043898776,0.5181941975249756,-2.905218887337457,1.0202389201374744,0.03096875337736756,0.9963955881323625,0.1800547534243578,nan,nan,nan,nan,nan,nan,nan,nan
8,0.24999999999999997,1,0.29858405188802695,0.6475549842004447,2.6722345204113728e-08,0.9999999732776548,8.583441498937577e-06,0.999992841799639,9.600956909102059e-05,0.9999610627884439,0.0017483875628898022,1.0002758982918458,0.012744480516825704,0.9905364493904519,0.06437209713754466,0.9837258960442251,0.2386677290385469,0.865808090455639,0.5953220167620267,0.45836137020308454,0.8765751003674701,0.12191947767120785
8,0.25,2,0.13326212099961876,0.4210911403179951,2.738179586009051e-08,0.9999999855997399,3.033881069239776e-06,0.9999998731298692,6.470994504122593e-05,1.000001165300241,0.001171402216006609,0.999892276198887,0.011124734904075607,1.0019649905760015,0.07257705608560489,0.9709681197555682,0.24721144051085248,1.0144970916641167,0.5291372044768771,0.4542781621911843,0.8813585045674738,0.5748574827169985
8,0.49999999999999994,1,0.43584846211386347,1.5153780045737628,2.8620062105297373e-05,1.0000286200621054,0.0017677479835707564,0.9974751213487125,0.010076549419014829,0.998697425765305,0.05722628166186703,0.23385698693465024,0.26398098080159366,1.2174121567682474,0.4881771796501048,1.3161963912346102,0.944329962116724,0.4490498967441947,1.0411058827145812,0.3779650597246208,1.013553844646112,0.17501312532175095
8,0.5,2,0.6288019383560387,2.8419660057204714,1.4886790600992348e-05,1.0000047996569013,0.0006366187324968975,0.25510049847053995,0.01067169760255276,1.006732972641271,0.06909300757941927,1.0449248997213836,0.3279307887979035,0.9415293108402124,0.6475045203514063,0.6875707941303357,0.8822113991483194,0.6081665834025505,1.0033475632508728,-0.05052580067501415,1.003250531436863,-0.0001908666416522327
8,0.7499999999999999,1,1.0400950068231611,13.32890427426171,0.00023222857455168332,0.9997677714254484,0.018484051416438947,1.0123794110977444,0.21164113934954618,0.9522947521822186,0.825489217940039,1.4168423021989185,1.5880123609071968,-0.03695235146861767,1.8327899102611747,0.34985270534910057,1.3643022798151618,-0.9575103981559424,1.0646154997425459,-0.5206016719145621,1.0052906098154644,-0.39208642073262906
8,0.75,2,1.0079532720479492,69.450580566459,0.003942952717236748,0.9960570472827635,0.012556793086710928,1.0061747433785777,0.07971907766841069,0.9898478867491927,0.3530243283265829,1.3274361417205325,0.7533869898874743,0.5726642865596799,1.0800842936818715,0.17829079397888428,1.1144483796719424,-0.3253754786211212,1.0283777876131401,-0.01980743001814012,1.0020654071138242,-0.0028185870257684672
